Customer_ID,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend
965,7.0,Very satisfied,2
966,2.0,Needs improvement,5
967,5.0,Very satisfied,2
968,10.0,Needs improvement,4
969,2.0,Unsatisfactory,2
970,5.0,Very satisfied,5
971,6.0,Unsatisfactory,6
972,3.0,Good service,1
973,6.0,Very satisfied,8
974,5.0,Very satisfied,2
975,4.0,Excellent,5
976,10.0,Very satisfied,8
977,9.0,Unsatisfactory,5
978,8.0,Needs improvement,3
979,7.0,Very satisfied,6
980,1.0,Good service,1
981,9.0,Unsatisfactory,1
982,9.0,Unsatisfactory,8
983,6.0,Good service,7
984,7.0,Unsatisfactory,10
985,3.0,Very satisfied,10
986,5.0,Excellent,3
987,7.0,Unsatisfactory,8
988,1.0,Unsatisfactory,8
989,1.0,Unsatisfactory,1
990,5.0,Needs improvement,10
991,9.0,Needs improvement,7
992,7.0,Needs improvement,2
993,1.0,Good service,2
994,5.0,Needs improvement,2
995,8.0,Good service,5
996,8.0,Good service,7
997,2.0,Good service,4
998,7.0,Very satisfied,4
999,10.0,Good service,9
1000,5.0,Unsatisfactory,10
623,4.0,Good service,3
753,1.0,Good service,8
736,9.0,Needs improvement,3
298,4.0,Good service,6
52,5.0,Good service,4
733,5.684784805011113,Unsatisfactory,7
304,4.0,Needs improvement,8
288,9.0,Good service,10
664,7.0,Needs improvement,6
899,8.0,Unsatisfactory,10
118,3.0,Needs improvement,4
923,3.0,Good service,8
969,7.0,Very satisfied,7
424,8.0,Unsatisfactory,10
791,5.0,Unsatisfactory,8
647,1.0,Needs improvement,10
209,3.0,Very satisfied,7
127,5.0,Needs improvement,3
293,3.0,Unsatisfactory,3
519,1.0,Good service,9
222,7.0,Very satisfied,7
77,1.0,Needs improvement,1
338,10.0,Unsatisfactory,3
863,6.0,Very satisfied,1
790,6.0,Needs improvement,6
846,7.0,Needs improvement,2
850,1.0,Needs improvement,7
739,3.0,Needs improvement,8
913,9.0,Needs improvement,6
275,2.0,Very satisfied,5
863,5.0,Good service,10
807,3.0,Needs improvement,4
117,5.0,Very satisfied,9
292,7.0,Needs improvement,8
271,1.0,Needs improvement,5
447,3.0,Good service,1
157,6.0,Needs improvement,8
572,5.684784805011113,Needs improvement,8
184,10.0,Good service,7
424,3.0,Good service,7
656,4.0,Excellent,8
673,6.0,Good service,1
601,5.0,Needs improvement,3
16,9.0,Very satisfied,4
926,5.684784805011113,Very satisfied,6
761,5.0,Very satisfied,10
98,1.0,Unsatisfactory,10
962,8.0,Good service,9
616,7.0,Good service,4
300,5.0,Unsatisfactory,6
747,6.0,Very satisfied,9
422,4.0,Good service,9
307,9.0,Good service,6
956,3.0,Good service,5
274,2.0,Needs improvement,3
261,7.0,Good service,5
239,2.0,Good service,3
936,6.0,Unsatisfactory,5
774,8.0,Unsatisfactory,10
332,3.0,Unsatisfactory,10
115,3.0,Unsatisfactory,1
268,3.0,Needs improvement,6
12,1.0,Needs improvement,7
73,9.0,Needs improvement,2
874,5.0,Unsatisfactory,3
406,9.0,Needs improvement,10
817,5.0,Very satisfied,9
178,7.0,Unsatisfactory,8
976,1.0,Unsatisfactory,4
772,9.0,Unsatisfactory,8
946,1.0,Very satisfied,8
259,4.0,Good service,6
400,7.0,Good service,1
270,9.0,Needs improvement,2
832,1.0,Very satisfied,4
632,6.0,Good service,4
681,10.0,Very satisfied,2
486,5.0,Good service,9
580,3.0,Unsatisfactory,2
59,10.0,Unsatisfactory,6
642,2.0,Very satisfied,5
887,1.0,Needs improvement,4
266,2.0,Very satisfied,6
75,4.0,Very satisfied,4
999,6.0,Unsatisfactory,9
90,5.0,Unsatisfactory,10
505,4.0,Unsatisfactory,7
357,8.0,Good service,3
154,7.0,Unsatisfactory,10
900,4.0,Very satisfied,4
218,60.0,Good service,1
486,5.0,Very satisfied,6
540,10.0,Unsatisfactory,2
130,5.0,Good service,4
66,3.0,Very satisfied,5
144,9.0,Needs improvement,8
380,5.0,Very satisfied,3
313,10.0,Very satisfied,6
407,2.0,Very satisfied,1
407,4.0,Very satisfied,9
973,4.0,Needs improvement,1
277,5.0,Needs improvement,2
615,8.0,Good service,1
409,5.0,Good service,8
314,1.0,Unsatisfactory,4
549,2.0,Needs improvement,2
249,3.0,Needs improvement,7
945,3.0,Good service,8
461,10.0,Good service,9
399,6.0,Excellent,5
668,5.684784805011113,Needs improvement,3
451,10.0,Very satisfied,1
471,1.0,Good service,8
644,6.0,Good service,6
559,9.0,Good service,5
434,4.0,Excellent,7
956,10.0,Unsatisfactory,5
446,3.0,Very satisfied,4
707,6.0,Good service,5
103,6.0,Unsatisfactory,7
328,2.0,Good service,6
683,5.0,Needs improvement,10
601,1.0,Needs improvement,10
246,9.0,Needs improvement,9
58,9.0,Unsatisfactory,10
105,3.0,Unsatisfactory,2
692,5.0,Excellent,7
972,3.0,Good service,1
69,7.0,Unsatisfactory,8
993,1.0,Very satisfied,4
302,5.0,Good service,8
153,5.684784805011113,Very satisfied,8
537,7.0,Needs improvement,4
889,3.0,Very satisfied,4
35,7.0,Unsatisfactory,5
957,4.0,Needs improvement,7
15,10.0,Very satisfied,6
106,6.0,Unsatisfactory,1
730,5.0,Unsatisfactory,6
896,4.0,Needs improvement,3
74,6.0,Very satisfied,9
856,3.0,Unsatisfactory,3
931,3.0,Unsatisfactory,9
285,5.0,Good service,5
550,5.0,Good service,10
197,9.0,Good service,8
280,4.0,Unsatisfactory,9
787,5.0,Good service,9
686,9.0,Very satisfied,7
817,4.0,Unsatisfactory,10
556,3.0,Very satisfied,1
969,7.0,Excellent,8
666,7.0,Good service,7
153,8.0,Needs improvement,4
291,4.0,Very satisfied,6
932,4.0,Excellent,10
142,9.0,Unsatisfactory,2
768,10.0,Excellent,4
312,7.0,Needs improvement,8
646,3.0,Very satisfied,4
32,9.0,Good service,10
26,5.0,Good service,4
911,4.0,Needs improvement,4
255,1.0,Excellent,10
945,9.0,Good service,9
735,6.0,Unsatisfactory,2
56,2.0,Excellent,7
293,7.0,Very satisfied,3
637,3.0,Unsatisfactory,4
230,6.0,Good service,1
53,8.0,Unsatisfactory,3
954,3.0,Good service,2
101,5.0,Good service,10
467,6.0,Very satisfied,7
846,1.0,Excellent,6
804,10.0,Unsatisfactory,1
869,7.0,Very satisfied,8
267,4.0,Excellent,9
795,10.0,Needs improvement,1
2,7.0,Unsatisfactory,5
22,7.0,Very satisfied,7
578,5.0,Good service,2
212,8.0,Needs improvement,6
236,8.0,Very satisfied,8
880,5.0,Good service,8
529,5.0,Good service,10
388,7.0,Good service,10
14,6.0,Good service,8
519,4.0,Excellent,6
847,2.0,Good service,6
222,8.0,Good service,3
912,3.0,Needs improvement,2
616,2.0,Needs improvement,5
962,10.0,Unsatisfactory,9
403,7.0,Unsatisfactory,4
513,10.0,Very satisfied,5
287,6.0,Good service,6
384,8.0,Unsatisfactory,6
247,6.0,Excellent,4
900,7.0,Needs improvement,4
91,2.0,Very satisfied,8
826,10.0,Good service,5
312,2.0,Very satisfied,5
437,6.0,Unsatisfactory,9
985,9.0,Very satisfied,4
726,3.0,Very satisfied,7
43,10.0,Good service,5
74,8.0,Good service,9
754,5.0,Good service,8
993,6.0,Good service,8
561,6.0,Unsatisfactory,10
880,10.0,Good service,10
876,3.0,Needs improvement,3
316,5.0,Good service,9
734,1.0,Good service,8
862,2.0,Needs improvement,3
144,10.0,Good service,10
329,3.0,Unsatisfactory,1
209,4.0,Needs improvement,5
99,9.0,Unsatisfactory,4
700,1.0,Good service,8
114,3.0,Good service,6
175,3.0,Needs improvement,10
271,6.0,Good service,5
63,5.0,Good service,9
796,3.0,Needs improvement,6
404,4.0,Very satisfied,3
225,7.0,Good service,6
959,3.0,Needs improvement,4
161,9.0,Excellent,5
36,8.0,Unsatisfactory,6
381,2.0,Good service,9
653,5.684784805011113,Needs improvement,3
318,4.0,Very satisfied,1
708,5.0,Good service,2
663,3.0,Unsatisfactory,8
456,10.0,Very satisfied,4
269,1.0,Good service,7
344,8.0,Excellent,2
40,9.0,Unsatisfactory,10
750,8.0,Unsatisfactory,8
414,4.0,Unsatisfactory,10
380,2.0,Unsatisfactory,9
222,4.0,Very satisfied,7
281,9.0,Needs improvement,10
225,10.0,Good service,1
457,9.0,Good service,2
154,5.0,Unsatisfactory,9
280,5.0,Good service,10
353,10.0,Very satisfied,7
39,3.0,Good service,3
729,6.0,Good service,5
756,7.0,Unsatisfactory,1
621,10.0,Needs improvement,10
975,9.0,Needs improvement,3
573,7.0,Needs improvement,4
489,3.0,Needs improvement,4
945,7.0,Unsatisfactory,7
937,1.0,Needs improvement,5
198,2.0,Excellent,9
276,4.0,Excellent,7
172,7.0,Excellent,2
784,9.0,Needs improvement,8
508,5.0,Excellent,2
405,8.0,Good service,7
271,7.0,Unsatisfactory,5
935,5.0,Excellent,10
554,3.0,Excellent,6
701,3.0,Unsatisfactory,4
772,6.0,Good service,5
664,10.0,Very satisfied,5
131,4.0,Good service,7
626,3.0,Unsatisfactory,4
385,4.0,Good service,5
734,3.0,Good service,4
397,10.0,Needs improvement,4
566,6.0,Needs improvement,8
850,7.0,Excellent,5
296,4.0,Needs improvement,9
383,3.0,Unsatisfactory,5
512,3.0,Needs improvement,8
395,3.0,Unsatisfactory,3
554,9.0,Good service,7
605,3.0,Good service,1
260,3.0,Excellent,5
281,8.0,Needs improvement,2
356,4.0,Needs improvement,8
420,7.0,Good service,6
192,3.0,Good service,5
637,8.0,Needs improvement,3
428,3.0,Very satisfied,1
808,5.0,Good service,10
348,1.0,Good service,10
429,5.0,Needs improvement,10
392,6.0,Needs improvement,10
341,7.0,Excellent,8
547,2.0,Needs improvement,5
940,2.0,Unsatisfactory,9
402,9.0,Needs improvement,7
47,10.0,Needs improvement,1
665,1.0,Very satisfied,1
750,2.0,Very satisfied,7
425,2.0,Needs improvement,7
517,10.0,Good service,9
960,7.0,Unsatisfactory,2
958,6.0,Needs improvement,7
637,9.0,Unsatisfactory,2
879,7.0,Excellent,10
328,3.0,Very satisfied,10
87,3.0,Good service,2
515,1.0,Needs improvement,5
165,8.0,Good service,9
223,1.0,Good service,9
861,2.0,Unsatisfactory,10
297,7.0,Excellent,1
916,1.0,Unsatisfactory,7
451,4.0,Needs improvement,10
343,9.0,Good service,10
936,8.0,Needs improvement,3
341,8.0,Good service,10
461,3.0,Needs improvement,10
392,5.0,Good service,1
901,4.0,Excellent,2
537,8.0,Unsatisfactory,6
551,7.0,Needs improvement,10
421,7.0,Excellent,2
381,10.0,Good service,2
617,10.0,Very satisfied,4
5,7.0,Unsatisfactory,3
648,1.0,Excellent,8
4,7.0,Needs improvement,8
681,4.0,Very satisfied,6
316,3.0,Unsatisfactory,4
822,5.0,Very satisfied,7
918,2.0,Needs improvement,9
78,8.0,Good service,2
531,9.0,Excellent,6
717,5.0,Good service,7
355,3.0,Unsatisfactory,1
836,10.0,Good service,6
33,7.0,Good service,8
662,1.0,Excellent,7
705,10.0,Good service,2
139,3.0,Needs improvement,2
272,9.0,Good service,4
196,2.0,Unsatisfactory,5
127,9.0,Very satisfied,5
349,1.0,Good service,2
743,4.0,Needs improvement,7
44,10.0,Good service,8
742,6.0,Very satisfied,2
728,7.0,Unsatisfactory,4
244,3.0,Needs improvement,3
9,9.0,Very satisfied,4
762,4.0,Needs improvement,5
712,5.0,Excellent,6
846,8.0,Very satisfied,2
79,3.0,Needs improvement,10
757,8.0,Unsatisfactory,6
190,1.0,Very satisfied,9
86,8.0,Very satisfied,8
485,10.0,Good service,1
271,8.0,Unsatisfactory,9
774,6.0,Very satisfied,10
513,5.684784805011113,Unsatisfactory,2
20,9.0,Needs improvement,1
489,6.0,Good service,6
932,1.0,Needs improvement,1
130,6.0,Excellent,6
838,1.0,Good service,2
770,6.0,Good service,7
643,3.0,Needs improvement,7
7,6.0,Very satisfied,4
852,6.0,Very satisfied,2
753,1.0,Very satisfied,7
704,9.0,Good service,1
937,8.0,Very satisfied,2
310,2.0,Unsatisfactory,2
809,2.0,Excellent,1
627,5.0,Very satisfied,9
901,10.0,Good service,6
473,2.0,Very satisfied,3
102,1.0,Very satisfied,6
338,2.0,Good service,7
319,5.0,Good service,3
513,10.0,Excellent,4
25,7.0,Good service,10
721,5.0,Good service,1
430,1.0,Good service,6
143,7.0,Very satisfied,6
709,6.0,Unsatisfactory,9
657,7.0,Very satisfied,2
149,2.0,Excellent,5
693,5.0,Very satisfied,5
55,8.0,Needs improvement,7
471,7.0,Excellent,5
363,6.0,Very satisfied,10
650,6.0,Good service,4
209,1.0,Unsatisfactory,10
185,1.0,Very satisfied,2
65,7.0,Needs improvement,8
549,3.0,Very satisfied,5
112,6.0,Good service,4
263,5.0,Very satisfied,9
76,3.0,Excellent,2
296,6.0,Very satisfied,3
178,3.0,Very satisfied,8
766,8.0,Needs improvement,4
1,7.0,Good service,9
148,9.0,Good service,10
876,5.0,Very satisfied,10
671,1.0,Unsatisfactory,10
836,10.0,Needs improvement,10
986,8.0,Good service,9
780,2.0,Very satisfied,10
662,6.0,Needs improvement,9
129,1.0,Unsatisfactory,1
638,6.0,Good service,6
513,4.0,Very satisfied,10
899,5.0,Good service,6
629,10.0,Needs improvement,8
972,7.0,Excellent,7
502,6.0,Very satisfied,7
149,5.684784805011113,Good service,2
269,9.0,Very satisfied,4
701,6.0,Good service,1
653,6.0,Good service,7
105,9.0,Excellent,4
466,10.0,Very satisfied,9
764,5.0,Unsatisfactory,6
929,6.0,Good service,6
902,6.0,Unsatisfactory,9
281,7.0,Needs improvement,8
407,9.0,Very satisfied,6
856,5.0,Excellent,6
613,5.0,Very satisfied,6
794,4.0,Needs improvement,4
900,10.0,Unsatisfactory,5
358,4.0,Very satisfied,3
675,8.0,Needs improvement,9
203,2.0,Unsatisfactory,2
612,10.0,Excellent,7
281,8.0,Unsatisfactory,1
916,2.0,Good service,10
257,1.0,Needs improvement,7
94,10.0,Unsatisfactory,2
324,9.0,Needs improvement,5
791,8.0,Unsatisfactory,1
739,6.0,Very satisfied,5
362,4.0,Very satisfied,4
662,2.0,Needs improvement,1
351,8.0,Excellent,1
62,3.0,Good service,7
641,10.0,Excellent,3
187,4.0,Excellent,10
580,5.0,Excellent,9
915,4.0,Excellent,9
542,8.0,Unsatisfactory,10
897,9.0,Unsatisfactory,9
304,1.0,Needs improvement,1
787,2.0,Very satisfied,4
639,4.0,Very satisfied,1
436,1.0,Very satisfied,1
213,6.0,Very satisfied,9
406,5.0,Very satisfied,5
818,7.0,Excellent,1
962,6.0,Needs improvement,3
134,3.0,Good service,7
960,5.0,Unsatisfactory,2
917,3.0,Good service,4
993,9.0,Very satisfied,2
915,2.0,Unsatisfactory,9
219,6.0,Good service,9
421,9.0,Needs improvement,7
319,10.0,Good service,7
157,7.0,Needs improvement,2
188,5.0,Unsatisfactory,10
476,2.0,Very satisfied,8
162,2.0,Excellent,1
129,4.0,Very satisfied,8
304,10.0,Needs improvement,5
89,2.0,Excellent,4
895,8.0,Excellent,10
917,10.0,Good service,2
162,7.0,Very satisfied,3
922,7.0,Unsatisfactory,10
36,3.0,Very satisfied,2
227,7.0,Good service,4
151,8.0,Unsatisfactory,3
593,5.0,Needs improvement,5
47,1.0,Very satisfied,7
716,1.0,Good service,9
940,4.0,Excellent,5
660,2.0,Needs improvement,8
231,7.0,Unsatisfactory,2
539,3.0,Good service,6
701,4.0,Very satisfied,8
165,9.0,Good service,9
724,2.0,Needs improvement,4
820,8.0,Good service,4
587,1.0,Needs improvement,7
604,3.0,Unsatisfactory,4
574,4.0,Unsatisfactory,5
66,6.0,Very satisfied,2
920,1.0,Unsatisfactory,2
80,8.0,Needs improvement,10
140,2.0,Very satisfied,5
400,5.0,Very satisfied,10
932,6.0,Needs improvement,10
130,8.0,Good service,2
985,3.0,Very satisfied,6
766,9.0,Very satisfied,6
446,5.0,Very satisfied,8
832,8.0,Excellent,1
29,4.0,Unsatisfactory,7
988,9.0,Needs improvement,7
202,8.0,Excellent,9
237,5.0,Needs improvement,4
599,3.0,Unsatisfactory,7
608,1.0,Good service,6
799,5.0,Needs improvement,4
339,5.0,Very satisfied,10
399,4.0,Good service,8
439,10.0,Very satisfied,3
289,10.0,Good service,8
252,8.0,Very satisfied,5
977,3.0,Good service,4
692,10.0,Unsatisfactory,3
100,9.0,Good service,10
916,3.0,Unsatisfactory,7
585,4.0,Needs improvement,7
422,6.0,Needs improvement,6
643,9.0,Good service,3
694,10.0,Excellent,9
706,2.0,Very satisfied,2
18,2.0,Needs improvement,3
471,2.0,Needs improvement,1
638,5.0,Good service,7
723,6.0,Good service,2
7,5.684784805011113,Good service,10
419,3.0,Unsatisfactory,8
380,2.0,Unsatisfactory,9
508,6.0,Excellent,2
114,1.0,Good service,6
852,9.0,Good service,1
511,10.0,Very satisfied,8
596,4.0,Excellent,5
851,2.0,Good service,9
873,6.0,Good service,3
976,5.0,Excellent,2
614,3.0,Needs improvement,7
469,3.0,Needs improvement,7
93,5.0,Very satisfied,10
492,4.0,Good service,5
828,5.0,Excellent,7
102,2.0,Needs improvement,6
493,1.0,Good service,9
763,5.0,Very satisfied,3
536,1.0,Good service,4
485,3.0,Needs improvement,9
989,8.0,Very satisfied,10
479,8.0,Needs improvement,8
877,9.0,Needs improvement,10
167,1.0,Unsatisfactory,6
140,4.0,Very satisfied,3
94,6.0,Unsatisfactory,9
181,7.0,Needs improvement,9
576,5.0,Good service,6
4,7.0,Excellent,2
606,10.0,Very satisfied,7
389,8.0,Needs improvement,9
272,10.0,Good service,9
795,6.0,Needs improvement,3
132,4.0,Needs improvement,2
584,1.0,Very satisfied,5
816,5.0,Needs improvement,10
904,10.0,Needs improvement,7
593,10.0,Unsatisfactory,3
512,10.0,Very satisfied,4
686,4.0,Good service,10
812,5.0,Needs improvement,2
963,5.684784805011113,Very satisfied,10
987,9.0,Needs improvement,2
52,3.0,Very satisfied,7
290,5.684784805011113,Good service,2
446,10.0,Unsatisfactory,1
237,7.0,Unsatisfactory,4
789,2.0,Needs improvement,6
491,9.0,Unsatisfactory,10
280,8.0,Unsatisfactory,10
44,6.0,Needs improvement,4
882,9.0,Excellent,1
766,3.0,Needs improvement,1
937,4.0,Needs improvement,9
925,7.0,Good service,1
359,1.0,Excellent,7
646,1.0,Good service,7
568,1.0,Very satisfied,1
526,8.0,Very satisfied,1
690,6.0,Very satisfied,6
462,3.0,Good service,8
101,10.0,Unsatisfactory,7
692,7.0,Needs improvement,6
984,6.0,Very satisfied,10
461,5.0,Unsatisfactory,3
769,3.0,Needs improvement,7
268,4.0,Needs improvement,6
883,1.0,Good service,8
362,9.0,Unsatisfactory,4
408,5.0,Good service,9
37,2.0,Very satisfied,1
468,9.0,Good service,7
966,7.0,Unsatisfactory,9
716,8.0,Needs improvement,10
981,3.0,Very satisfied,1
259,7.0,Very satisfied,10
509,1.0,Needs improvement,3
667,6.0,Needs improvement,7
750,10.0,Good service,9
309,6.0,Unsatisfactory,1
612,10.0,Excellent,6
273,6.0,Good service,2
625,3.0,Needs improvement,5
110,6.0,Very satisfied,7
655,3.0,Unsatisfactory,7
679,10.0,Good service,10
260,9.0,Very satisfied,7
657,7.0,Unsatisfactory,4
742,4.0,Unsatisfactory,6
907,3.0,Very satisfied,10
268,6.0,Very satisfied,6
32,9.0,Good service,7
923,3.0,Needs improvement,9
940,8.0,Unsatisfactory,6
811,6.0,Needs improvement,10
731,4.0,Needs improvement,1
177,5.0,Unsatisfactory,8
104,3.0,Needs improvement,2
236,2.0,Needs improvement,3
93,9.0,Needs improvement,5
201,3.0,Unsatisfactory,6
811,6.0,Good service,7
899,5.0,Good service,4
743,10.0,Very satisfied,3
925,8.0,Unsatisfactory,9
767,5.0,Good service,4
597,8.0,Good service,9
35,5.0,Excellent,9
117,10.0,Excellent,3
688,6.0,Excellent,3
458,5.0,Very satisfied,8
471,2.0,Unsatisfactory,1
935,10.0,Good service,6
985,10.0,Very satisfied,6
920,6.0,Good service,9
788,7.0,Needs improvement,2
399,3.0,Very satisfied,8
597,5.684784805011113,Needs improvement,7
117,7.0,Unsatisfactory,2
362,10.0,Good service,1
204,4.0,Good service,4
146,2.0,Good service,2
444,9.0,Excellent,3
727,9.0,Very satisfied,2
617,6.0,Good service,9
861,2.0,Good service,4
297,3.0,Unsatisfactory,1
868,5.0,Very satisfied,8
581,5.0,Good service,4
487,9.0,Good service,10
986,10.0,Unsatisfactory,8
767,3.0,Good service,8
231,2.0,Needs improvement,9
203,10.0,Very satisfied,10
362,8.0,Excellent,7
395,7.0,Needs improvement,4
248,9.0,Needs improvement,2
440,3.0,Good service,6
914,6.0,Good service,4
396,5.0,Good service,6
761,5.0,Needs improvement,8
656,10.0,Excellent,3
795,8.0,Good service,1
356,1.0,Unsatisfactory,5
401,1.0,Very satisfied,3
241,3.0,Excellent,6
341,2.0,Good service,3
887,2.0,Good service,1
229,2.0,Good service,9
543,4.0,Unsatisfactory,5
621,1.0,Unsatisfactory,2
931,10.0,Good service,2
539,9.0,Needs improvement,9
855,5.0,Very satisfied,1
672,5.0,Good service,10
529,9.0,Good service,3
267,5.0,Needs improvement,10
129,8.0,Needs improvement,7
220,1.0,Unsatisfactory,1
82,1.0,Unsatisfactory,2
561,4.0,Good service,6
553,8.0,Unsatisfactory,9
20,3.0,Very satisfied,9
327,1.0,Unsatisfactory,8
37,9.0,Very satisfied,3
382,9.0,Unsatisfactory,2
912,9.0,Needs improvement,1
39,5.684784805011113,Good service,9
109,2.0,Needs improvement,5
429,4.0,Very satisfied,3
64,2.0,Good service,10
175,7.0,Needs improvement,10
791,3.0,Unsatisfactory,5
32,9.0,Good service,3
945,7.0,Good service,9
721,8.0,Needs improvement,1
891,9.0,Needs improvement,1
531,8.0,Good service,3
106,7.0,Unsatisfactory,6
482,9.0,Needs improvement,2
206,1.0,Very satisfied,1
247,4.0,Good service,8
835,4.0,Good service,10
679,5.0,Needs improvement,9
89,8.0,Good service,10
316,10.0,Excellent,1
11,1.0,Good service,3
49,6.0,Needs improvement,5
911,9.0,Very satisfied,7
896,10.0,Unsatisfactory,10
979,8.0,Unsatisfactory,4
573,2.0,Very satisfied,6
171,7.0,Excellent,1
143,5.684784805011113,Good service,4
207,2.0,Needs improvement,8
998,1.0,Unsatisfactory,5
463,2.0,Unsatisfactory,8
509,10.0,Excellent,1
201,6.0,Unsatisfactory,10
5,8.0,Excellent,9
211,3.0,Very satisfied,4
984,5.0,Good service,9
29,2.0,Needs improvement,8
190,8.0,Unsatisfactory,8
188,4.0,Needs improvement,2
837,10.0,Very satisfied,3
767,6.0,Unsatisfactory,10
150,3.0,Excellent,9
525,8.0,Good service,3
946,8.0,Good service,8
884,3.0,Very satisfied,5
943,5.684784805011113,Good service,7
366,10.0,Needs improvement,4
157,5.0,Excellent,8
80,10.0,Very satisfied,4
868,9.0,Needs improvement,5
273,7.0,Needs improvement,1
660,10.0,Good service,10
718,3.0,Needs improvement,8
626,6.0,Unsatisfactory,7
518,10.0,Unsatisfactory,5
790,2.0,Good service,6
232,6.0,Unsatisfactory,1
649,5.0,Good service,8
160,3.0,Good service,9
344,7.0,Very satisfied,5
289,4.0,Good service,10
205,6.0,Very satisfied,7
995,9.0,Good service,10
838,6.0,Needs improvement,4
305,4.0,Needs improvement,6
360,10.0,Very satisfied,2
670,2.0,Good service,4
870,9.0,Needs improvement,5
400,4.0,Good service,9
449,4.0,Good service,9
106,2.0,Unsatisfactory,8
82,5.0,Very satisfied,4
342,6.0,Good service,6
986,10.0,Very satisfied,7
782,6.0,Very satisfied,1
952,3.0,Excellent,1
421,9.0,Good service,4
49,7.0,Needs improvement,3
206,3.0,Unsatisfactory,10
218,4.0,Very satisfied,4
818,7.0,Good service,9
676,8.0,Unsatisfactory,2
436,6.0,Unsatisfactory,4
791,4.0,Good service,7
322,2.0,Good service,2
231,10.0,Unsatisfactory,8
711,8.0,Good service,10
487,1.0,Very satisfied,4
429,9.0,Good service,9
883,8.0,Good service,1
726,3.0,Very satisfied,7
284,10.0,Good service,1
486,4.0,Unsatisfactory,10
276,10.0,Needs improvement,9
433,4.0,Very satisfied,10
185,2.0,Good service,10
722,10.0,Unsatisfactory,1
633,5.0,Very satisfied,3
216,3.0,Very satisfied,7
97,1.0,Good service,1
955,2.0,Very satisfied,5
119,7.0,Excellent,6
365,1.0,Needs improvement,3
794,2.0,Good service,6
403,10.0,Unsatisfactory,4
618,7.0,Good service,6
397,1.0,Very satisfied,6
458,7.0,Good service,4
318,8.0,Needs improvement,1
382,2.0,Very satisfied,3
142,4.0,Good service,10
457,7.0,Good service,7
501,1.0,Good service,2
907,6.0,Needs improvement,4
323,5.0,Unsatisfactory,6
1000,6.0,Unsatisfactory,5
268,8.0,Needs improvement,6
803,1.0,Excellent,5
487,3.0,Very satisfied,9
878,9.0,Very satisfied,2
679,8.0,Good service,4
160,4.0,Good service,1
743,10.0,Good service,7
14,9.0,Good service,1
705,7.0,Very satisfied,6
155,2.0,Needs improvement,10
101,1.0,Excellent,10
572,1.0,Good service,9
43,3.0,Very satisfied,2
193,10.0,Unsatisfactory,1
311,2.0,Good service,10
621,4.0,Good service,3
605,8.0,Good service,6
728,5.0,Unsatisfactory,7
465,5.0,Unsatisfactory,8
163,6.0,Needs improvement,4
351,5.0,Good service,8
234,5.0,Good service,7
928,7.0,Very satisfied,8
403,6.0,Excellent,5
351,10.0,Needs improvement,10
167,2.0,Very satisfied,7
148,1.0,Needs improvement,4
28,1.0,Good service,1
259,4.0,Excellent,3
928,2.0,Unsatisfactory,10
598,6.0,Very satisfied,9
620,9.0,Unsatisfactory,4
442,10.0,Good service,5
950,10.0,Very satisfied,3
938,8.0,Needs improvement,6
629,4.0,Needs improvement,4
876,2.0,Very satisfied,5
527,1.0,Needs improvement,7
998,7.0,Needs improvement,7
211,10.0,Very satisfied,9
830,3.0,Good service,2
543,6.0,Needs improvement,4
445,5.0,Very satisfied,8
794,5.0,Unsatisfactory,4
453,2.0,Very satisfied,3
697,9.0,Very satisfied,10
404,4.0,Very satisfied,6
66,10.0,Needs improvement,3
405,1.0,Needs improvement,2
883,2.0,Good service,9
828,9.0,Good service,3
575,7.0,Unsatisfactory,1
435,10.0,Very satisfied,9
228,2.0,Good service,5
476,7.0,Very satisfied,7
468,4.0,Very satisfied,2
101,10.0,Good service,1
423,5.684784805011113,Very satisfied,6
356,4.0,Good service,5
139,5.0,Unsatisfactory,10
631,4.0,Very satisfied,6
569,3.0,Unsatisfactory,2
131,6.0,Needs improvement,7
549,1.0,Good service,1
468,8.0,Needs improvement,8
480,5.0,Good service,7
111,8.0,Very satisfied,7
153,10.0,Excellent,6
917,4.0,Needs improvement,10
762,4.0,Unsatisfactory,5
242,5.0,Unsatisfactory,9
720,5.0,Very satisfied,3
880,6.0,Good service,9
682,5.0,Very satisfied,5
769,5.0,Unsatisfactory,8
279,8.0,Unsatisfactory,3
363,6.0,Needs improvement,7
625,2.0,Very satisfied,10
408,4.0,Very satisfied,4
175,4.0,Unsatisfactory,5
601,5.0,Excellent,4
135,6.0,Very satisfied,9
506,5.684784805011113,Very satisfied,7
294,6.0,Good service,6
495,8.0,Very satisfied,6
815,4.0,Unsatisfactory,10
871,3.0,Good service,7
419,9.0,Needs improvement,5
206,3.0,Good service,10
318,8.0,Good service,3
73,10.0,Good service,3
259,5.684784805011113,Unsatisfactory,7
358,9.0,Needs improvement,10
148,3.0,Good service,1
225,10.0,Good service,4
105,10.0,Very satisfied,10
556,8.0,Very satisfied,8
928,7.0,Needs improvement,4
356,7.0,Needs improvement,1
538,10.0,Good service,5
816,9.0,Unsatisfactory,1
261,8.0,Needs improvement,9
571,3.0,Good service,8
573,6.0,Very satisfied,7
817,6.0,Unsatisfactory,5
926,5.0,Needs improvement,4
913,3.0,Very satisfied,7
70,9.0,Needs improvement,3
954,7.0,Good service,8
